Category,Expiration date,Generation number,ID,Product,Tree ID,Variety
"Fruit, Berry",2019-02-04,3,9219,Banana,62887083,Cavendish
"Fruit, Berry",2019-06-19,3,2574,Banana,56008524,Cavendish
"Fruit, Berry",2019-01-07,3,1701,Banana,57295152,Cavendish
"Fruit, Berry",2019-01-01,3,4467,Banana,98906895,Cavendish
"Fruit, Berry",2019-11-07,3,8669,Banana,63680669,Cavendish
"Fruit, Berry",2019-05-09,3,1232,Banana,20629670,Cavendish
"Fruit, Berry",2019-11-12,3,3347,Banana,80250548,Cavendish
"Fruit, Berry",2019-07-02,3,2835,Banana,46222947,Cavendish
"Fruit, Berry",2019-05-09,3,6834,Banana,95067339,Cavendish
"Fruit, Berry",2019-02-09,3,7519,Banana,62418201,Cavendish
"Fruit, Berry",2019-09-25,3,8243,Banana,46679802,Cavendish
"Fruit, Berry",2019-11-24,3,1921,Banana,99328726,Cavendish
"Fruit, Berry",2019-04-05,3,5199,Banana,00079365,Cavendish
"Fruit, Berry",2019-10-06,3,4133,Banana,69519093,Cavendish
"Fruit, Berry",2019-05-19,3,1406,Banana,96748367,Cavendish
"Fruit, Berry",2019-07-26,3,5080,Banana,75304454,Cavendish
"Fruit, Berry",2019-03-26,3,9526,Banana,87699364,Cavendish
"Fruit, Berry",2019-06-07,3,8022,Banana,84016430,Cavendish
"Fruit, Berry",2019-07-09,3,3128,Banana,25685329,Cavendish
"Fruit, Berry",2019-03-16,3,1016,Banana,11046738,Cavendish
"Fruit, Berry",2019-08-15,3,5471,Banana,59040682,Cavendish
"Fruit, Berry",2019-08-31,3,8698,Banana,24976985,Cavendish
"Fruit, Berry",2019-07-22,3,1366,Banana,24904032,Cavendish
"Fruit, Berry",2019-04-02,3,8174,Banana,14444265,Cavendish
"Fruit, Berry",2019-02-18,3,9900,Banana,82164300,Cavendish
"Fruit, Berry",2019-10-28,3,5550,Banana,30150201,Cavendish
"Fruit, Berry",2019-05-14,3,7991,Banana,12806072,Cavendish
"Fruit, Berry",2019-08-28,3,8767,Banana,79190664,Cavendish
"Fruit, Berry",2019-05-13,3,4656,Banana,21306396,Cavendish
