Age of tree,Category,Color,Expiration date,ID,Pollination group,Product,Tree ID,Variety
79,Fruit,White,2019-04-07,16299658,Group C,Apple,72066041,Delicious
87,Fruit,Yellow,2019-08-11,08109101,Group D,Apple,27731321,Delicious
66 YR,Fruit,Red,2019-12-05,23048492,Group F,Apple,49341447,Honeycrisp
37,Fruit,White,2019-11-25,25911077,Group E,Apple,79868488,Delicious
39,Fruit,White,2019-02-15,04787303,Group C,Apple,16249615,Crispin
59,Fruit,Yellow,2019-01-17,11461319,Group C,Apple,14222733,Crispin
33,Fruit,Red,2019-08-03,99159443,Group A,Apple,59112587,Jonagold
60 YR,Fruit,Yellow,2019-03-24,32466409,Group E,Apple,85854666,Jonagold
55,Fruit,Red,2019-02-12,75228293,Group A,Apple,36392636,Jonagold
61 YR,Fruit,Yellow,2019-10-01,91870131,Group A,Apple,27022313,Jonagold
85,Fruit,White,2019-03-15,48690522,Group F,Apple,09837157,Honeycrisp
35,Fruit,Yellow-ish white,2019-01-31,47509900,Group A,Apple,63055368,Gala
